1: ammonia/water - 0.99/0.01: Specified state points (99,/1,)

Mass Frac.	Mass Frac.	Temperature	Pressure	Density	Enthalpy	Entropy	Quality
(ammonia)	(water)	(K)	(Pa)	(kg/m^3)	(J/kg)	(J/kg-K)	(kg/kg)
							
1,0000	0,00000	313,15	1555400,	579,44	533790,	2116,1	0,00000
1,0000	0,00000	263,15	290710,	2,3906	1593900,	6228,5	1,0000
1,0000	0,00000	373,15	1555400,	9,2026	1808500,	6141,0	Superheated
1,0000	0,00000	263,15	290710,	12,889	533790,	2200,1	0,18248
0,39800	0,60200	373,15	1555400,	723,02	356570,	1806,5	0,0010830
0,39800	0,60200	308,87	290710,	849,84	53728,	921,52	Subcooled


